profession,career_field,position_level,education_level,location_type,age,years_experience,has_remote,is_career_change,is_training_career,in_training,industry_growth_rate,salary
patent attorney,business,entry,bachelors,rural,22,0.7,1,0,0,0,0.0433,171814.79
social worker,service,entry,self_taught,major_city,20,2.8,0,0,0,0,0.0539,54895.97
veterinarian,healthcare,mid,bachelors,rural,28,5.9,0,0,0,0,0.0582,127624.96
journalist,creative,lead,self_taught,suburb,34,16.9,0,0,0,0,0.0252,112257.71
mechanical engineer,engineering,entry,bachelors,international,22,1.0,0,0,0,0,0.0361,58023.86
financial analyst,finance,entry,bachelors,suburb,25,2.8,0,0,0,0,0.0603,71790.37
principal,education,entry,bachelors,small_city,22,1.1,0,0,0,0,0.0196,95145.27
strategy consultant,business,entry,associates,major_city,20,1.2,0,0,0,0,0.028,92505.16
financial analyst,finance,senior,masters,international,39,14.9,0,1,0,0,0.0386,154141.41
product manager,technology,mid,bachelors,suburb,24,2.5,0,0,0,0,0.0721,164023.18
graphic designer,creative,senior,bachelors,suburb,32,10.8,0,0,0,0,0.0055,108839.75
product designer,creative,lead,associates,major_city,39,19.4,0,0,0,0,0.0338,290064.43
biologist,other,mid,high_school,rural,22,5.7,0,0,0,0,0.0398,53404.93
architect,engineering,lead,masters,international,42,18.4,0,0,0,0,0.0368,233810.91
actuary,finance,entry,masters,major_city,24,0.9,0,0,0,0,0.0351,120345.44
anesthesiologist,healthcare,entry,bootcamp,major_city,19,0.3,0,0,1,1,0.0522,89875.95
hotel manager,service,executive,self_taught,international,38,21.0,0,0,0,0,0.0324,226039.55
machine learning engineer,technology,lead,bachelors,rural,44,22.6,0,0,0,0,0.095,332321.59
real estate agent,business,entry,associates,small_city,22,2.0,0,1,0,0,0.0469,37202.29
software developer,technology,senior,self_taught,small_city,31,14.4,1,0,0,0,0.0683,219102.55
lawyer,business,entry,masters,major_city,23,0.2,1,0,0,0,0.065,183180.09
physical therapist,healthcare,senior,phd,suburb,33,6.9,1,0,0,0,0.0402,133873.09
hr manager,business,senior,high_school,rural,25,7.1,1,1,0,0,0.0437,84200.75
product manager,technology,entry,masters,major_city,25,2.5,0,0,0,0,0.0809,139359.34
dentist,healthcare,mid,associates,rural,25,5.5,0,0,0,0,0.0448,150548.67
nurse,healthcare,entry,phd,rural,29,2.0,0,0,0,0,0.0536,76986.13
chemical engineer,engineering,entry,bachelors,rural,21,0.1,0,0,0,0,0.0588,61553.8
cto,technology,senior,phd,international,36,9.0,0,0,0,0,0.0768,482591.46
mechanical engineer,engineering,mid,bachelors,major_city,23,2.6,0,0,0,0,0.0434,113324.73
firefighter,service,entry,self_taught,small_city,19,1.0,0,0,0,0,0.046,47030.48
physicist,other,senior,masters,international,37,13.6,0,1,0,0,0.0496,172256.7
firefighter,service,senior,masters,international,36,12.8,0,0,0,0,0.0313,119090.72
venture capitalist,finance,entry,bachelors,small_city,23,0.5,0,0,0,0,0.0263,127076.57
data scientist,technology,senior,bachelors,international,36,14.1,0,0,0,0,0.0892,207863.19
teacher,education,entry,associates,major_city,22,2.6,0,0,0,0,0.0374,53736.75
cardiologist,healthcare,lead,bachelors,suburb,45,23.1,0,0,1,0,0.0511,1199457.79
product manager,technology,senior,associates,suburb,27,8.4,0,0,0,0,0.0827,176805.02
attorney,business,senior,bachelors,international,35,12.9,1,0,0,0,0.0503,294546.46
professor,education,lead,masters,rural,38,14.1,1,0,0,0,0.0338,171516.33
cardiologist,healthcare,senior,phd,international,35,9.6,0,0,1,0,0.0619,757880.01
cto,technology,mid,bachelors,suburb,25,3.7,1,1,0,0,0.0834,236173.66
chemist,other,entry,masters,international,26,2.6,0,0,0,0,0.0208,67233.59
aerospace engineer,engineering,mid,phd,suburb,32,6.4,0,0,0,0,0.0651,190483.08
professor,education,mid,bachelors,rural,29,6.4,0,0,0,0,0.0257,102008.54
cto,technology,senior,bachelors,major_city,35,13.9,1,0,0,0,0.0866,559963.27
real estate agent,business,mid,bachelors,rural,27,6.2,0,0,0,0,0.0391,79166.83
strategy consultant,business,executive,bachelors,rural,38,16.1,0,1,0,0,0.0491,576166.65
photographer,creative,mid,bootcamp,international,20,2.8,1,0,0,0,0.0234,36277.51
copywriter,creative,mid,masters,small_city,29,4.6,0,0,0,0,0.0307,95165.1
devops engineer,technology,entry,bachelors,rural,22,1.4,0,0,0,0,0.0555,90816.21
journalist,creative,lead,high_school,rural,30,12.5,1,0,0,0,0.022,70888.95
psychiatrist,healthcare,senior,phd,suburb,39,13.6,0,0,1,0,0.0471,625587.86
financial analyst,finance,lead,bachelors,international,42,20.3,1,0,0,0,0.0409,178754.94
restaurant manager,service,entry,masters,suburb,25,2.6,0,0,0,0,0.0348,55448.54
biologist,other,entry,bachelors,international,23,2.1,0,1,0,0,0.0485,42052.26
devops engineer,technology,entry,high_school,international,19,0.8,0,0,0,0,0.0823,55886.66
data scientist,technology,entry,masters,international,26,2.4,1,1,0,0,0.0792,106272.37
ux designer,creative,entry,bachelors,suburb,24,2.1,0,0,0,0,0.0278,91016.07
real estate broker,business,mid,phd,international,33,5.2,0,0,0,0,0.0619,162128.38
aerospace engineer,engineering,senior,high_school,rural,30,11.9,0,0,0,0,0.0447,103987.9
physician,healthcare,senior,bachelors,suburb,34,11.2,0,0,1,0,0.0689,328069.41
full stack developer,technology,senior,masters,small_city,33,9.9,0,0,0,0,0.0853,297346.46
doctor,healthcare,senior,bachelors,suburb,32,9.9,0,0,1,0,0.0593,371273.73
graphic designer,creative,executive,associates,major_city,51,31.1,0,0,0,0,0.0491,218665.95
journalist,creative,entry,bootcamp,major_city,21,2.3,0,1,0,0,0.0241,41856.1
physician,healthcare,entry,bootcamp,rural,20,2.3,0,0,1,1,0.0413,54100.77
petroleum engineer,engineering,senior,associates,small_city,27,7.8,0,0,0,0,0.0495,232929.92
surgeon,healthcare,senior,bachelors,suburb,28,5.3,0,0,1,1,0.0564,66003.31
art director,creative,mid,associates,rural,24,4.1,0,1,0,0,0.0362,76776.22
real estate broker,business,mid,bachelors,international,25,4.4,1,0,0,0,0.0422,145682.97
engineering manager,technology,lead,masters,suburb,35,10.1,1,0,0,0,0.0822,497382.94
photographer,creative,mid,bachelors,major_city,29,6.1,0,0,0,0,0.039,70594.73
backend developer,technology,mid,high_school,rural,21,3.0,0,0,0,0,0.078,78415.07
cloud engineer,technology,mid,bachelors,rural,27,5.1,0,0,0,0,0.0752,123759.11
professor,education,senior,bachelors,small_city,27,5.9,0,0,0,0,0.0323,177164.66
teacher,education,entry,masters,suburb,25,1.8,1,1,0,0,0.0186,52777.43
biologist,other,mid,bachelors,major_city,25,4.4,1,0,0,0,0.0427,95093.03
social worker,service,mid,bachelors,small_city,24,3.2,0,0,0,0,0.0195,51808.9
physician,healthcare,mid,masters,suburb,30,6.8,0,0,1,0,0.0587,277735.38
real estate broker,business,lead,masters,major_city,37,14.6,1,0,0,0,0.0399,764969.66
management consultant,business,mid,masters,small_city,29,6.0,1,0,0,0,0.0384,250301.72
cpa,finance,mid,bachelors,international,28,6.0,0,0,0,0,0.0463,77637.92
lawyer,business,entry,bachelors,rural,22,0.9,1,0,0,0,0.0532,102578.04
executive chef,service,mid,bachelors,suburb,25,2.7,0,0,0,0,0.043,83645.34
dentist,healthcare,senior,masters,rural,35,11.8,1,0,0,0,0.0588,318207.96
actuary,finance,mid,bachelors,international,25,4.0,0,0,0,0,0.0343,119652.69
research scientist,other,entry,masters,small_city,25,0.8,0,1,0,0,0.0312,90352.58
biomedical engineer,engineering,senior,bachelors,suburb,32,9.6,0,0,0,0,0.061,146468.35
orthopedic surgeon,healthcare,executive,bachelors,suburb,50,28.3,0,0,1,0,0.0599,1595941.29
financial analyst,finance,entry,bootcamp,international,18,1.2,0,0,0,0,0.0401,52978.17
aerospace engineer,engineering,mid,phd,small_city,32,4.4,0,0,0,0,0.0525,203415.74
electrician,service,mid,bootcamp,suburb,20,3.1,0,0,0,0,0.0237,48099.93
frontend developer,technology,mid,bachelors,suburb,27,6.4,1,0,0,0,0.0748,152046.42
orthopedic surgeon,healthcare,mid,phd,suburb,32,5.3,0,0,1,1,0.0515,82421.87
hotel manager,service,entry,bachelors,major_city,21,0.0,0,0,0,0,0.0514,67273.5
professor,education,entry,bootcamp,rural,18,0.0,1,0,0,0,0.0224,67625.9
electrical engineer,engineering,senior,bachelors,small_city,33,11.0,0,1,0,0,0.0596,162107.41
pharmacist,healthcare,executive,bachelors,major_city,55,33.4,0,0,0,0,0.0659,461209.31
police officer,service,entry,self_taught,international,19,1.0,0,0,0,0,0.0233,39684.36
graphic designer,creative,senior,self_taught,rural,29,11.6,0,0,0,0,0.0179,80002.28
surgeon,healthcare,mid,masters,suburb,30,5.3,0,0,1,1,0.0372,72849.32
dermatologist,healthcare,mid,phd,major_city,29,2.1,0,1,1,1,0.0642,93065.27
investment banker,finance,entry,bachelors,major_city,24,1.6,0,0,0,0,0.0503,174719.14
journalist,creative,senior,bootcamp,rural,29,11.7,0,0,0,0,0.0148,76277.94
social worker,service,mid,associates,small_city,24,3.9,0,0,0,0,0.022,58921.2
software developer,technology,lead,bachelors,international,33,10.4,1,0,0,0,0.0812,244836.47
product manager,technology,executive,phd,rural,56,28.8,0,0,0,0,0.0899,471122.36
architect,engineering,executive,bachelors,major_city,48,25.7,0,0,0,0,0.0355,343786.22
art director,creative,entry,bootcamp,suburb,18,0.2,0,0,0,0,0.0253,58948.41
architect,engineering,mid,bachelors,rural,26,3.7,1,1,0,0,0.0328,64894.05
paralegal,business,entry,bachelors,small_city,24,2.4,0,0,0,0,0.0447,57732.97
ux designer,creative,mid,associates,small_city,24,3.8,0,0,0,0,0.0395,106047.05
machine learning engineer,technology,entry,bootcamp,major_city,19,0.5,1,0,0,0,0.0829,127127.85
devops engineer,technology,entry,bachelors,small_city,24,2.1,1,1,0,0,0.0769,103739.89
mechanical engineer,engineering,mid,bachelors,suburb,25,3.7,1,0,0,0,0.0417,96298.34
lawyer,business,entry,masters,major_city,25,1.7,1,0,0,0,0.0583,160598.31
surgeon,healthcare,lead,phd,international,49,22.4,0,0,1,0,0.0505,1204470.03
anesthesiologist,healthcare,mid,masters,major_city,30,6.6,1,0,1,0,0.0662,796754.03
aerospace engineer,engineering,mid,high_school,suburb,23,4.5,0,1,0,0,0.0458,74621.68
financial advisor,finance,lead,bachelors,major_city,41,19.5,1,1,0,0,0.0457,345526.73
professor,education,senior,phd,rural,38,11.2,0,1,0,0,0.028,165038.99
radiologist,healthcare,mid,phd,small_city,31,3.3,1,0,1,1,0.0579,78374.44
art director,creative,mid,bootcamp,international,24,5.6,1,0,0,0,0.0127,75410.89
anesthesiologist,healthcare,lead,phd,international,42,15.5,0,0,1,0,0.0644,855274.53
lawyer,business,entry,bachelors,rural,22,1.5,0,0,0,0,0.0439,80829.04
nurse,healthcare,senior,masters,suburb,36,11.4,0,0,0,0,0.0525,144486.6
cto,technology,executive,bachelors,small_city,57,35.3,1,0,0,0,0.0723,1161041.15
psychiatrist,healthcare,entry,bachelors,rural,22,1.3,0,0,1,1,0.0505,62223.49
physical therapist,healthcare,entry,phd,international,27,1.2,0,0,0,0,0.0851,91033.73
art director,creative,mid,bachelors,international,26,4.9,0,1,0,0,0.042,85556.78
orthopedic surgeon,healthcare,lead,bachelors,suburb,43,21.6,0,0,1,0,0.0577,1481099.16
frontend developer,technology,senior,bachelors,rural,35,14.4,1,0,0,0,0.1024,146071.59
strategy consultant,business,mid,masters,international,27,3.0,1,0,0,0,0.0471,190635.24
executive chef,service,lead,bootcamp,small_city,39,20.8,0,0,0,0,0.0266,172521.91
patent attorney,business,entry,phd,small_city,29,2.6,1,0,0,0,0.0299,239827.22
full stack developer,technology,senior,bachelors,rural,34,12.7,1,1,0,0,0.072,156986.81
police officer,service,mid,masters,major_city,27,3.8,0,1,0,0,0.0349,102304.69
electrician,service,mid,self_taught,major_city,21,2.8,0,1,0,0,0.0513,53784.25
electrical engineer,engineering,mid,bachelors,small_city,26,4.1,0,0,0,0,0.0496,93657.05
actuary,finance,mid,masters,rural,26,3.8,1,1,0,0,0.0402,147946.7
photographer,creative,lead,bachelors,suburb,34,11.8,0,0,0,0,0.0212,130961.01
copywriter,creative,mid,bootcamp,international,24,6.4,0,1,0,0,0.0384,51867.45
orthopedic surgeon,healthcare,entry,masters,small_city,26,1.2,0,0,1,1,0.0578,61627.63
accountant,finance,entry,bachelors,rural,25,2.2,0,0,0,0,0.0422,47512.95
software engineer,technology,entry,phd,international,28,1.0,0,0,0,0,0.0882,126043.67
management consultant,business,senior,associates,international,27,7.9,0,0,0,0,0.0336,171042.46
video editor,creative,entry,bachelors,small_city,22,1.4,1,0,0,0,0.0391,51108.72
social worker,service,mid,associates,small_city,25,5.4,0,0,0,0,0.0212,50973.56
cardiologist,healthcare,executive,masters,international,58,35.5,0,0,1,0,0.0672,2967104.66
financial analyst,finance,mid,self_taught,international,24,6.4,1,1,0,0,0.0489,68780.66
hedge fund manager,finance,entry,bachelors,rural,22,0.7,1,0,0,0,0.034,160211.26
professor,education,executive,masters,rural,49,24.7,1,0,0,0,0.023,400635.22
attorney,business,executive,masters,rural,49,24.7,0,0,0,0,0.0468,1058989.31
dermatologist,healthcare,mid,bachelors,international,28,6.2,0,1,1,0,0.0495,307654.35
recruiter,business,mid,phd,rural,33,6.4,1,0,0,0,0.0366,95466.51
aerospace engineer,engineering,entry,bachelors,small_city,22,0.2,0,0,0,0,0.0438,83768.8
marketing manager,business,lead,bachelors,international,42,21.4,1,0,0,0,0.0526,175027.86
physician,healthcare,mid,masters,small_city,27,4.1,0,0,1,0,0.0501,365667.09
psychiatrist,healthcare,entry,bachelors,major_city,21,0.2,0,0,1,1,0.0529,91193.38
engineering manager,technology,mid,bachelors,rural,25,3.3,0,0,0,0,0.0896,153513.66
electrical engineer,engineering,entry,masters,major_city,26,2.3,0,0,0,0,0.0495,132827.59
cloud engineer,technology,entry,phd,rural,27,1.7,1,0,0,0,0.0883,121742.05
nurse practitioner,healthcare,mid,associates,small_city,22,3.3,0,0,0,0,0.0612,97245.96
veterinarian,healthcare,entry,bachelors,major_city,24,2.6,0,0,0,0,0.056,127642.93
backend developer,technology,lead,masters,small_city,34,10.9,0,0,0,0,0.0724,393654.32
cybersecurity engineer,technology,entry,bachelors,rural,25,2.7,0,1,0,0,0.0959,60965.13
engineering manager,technology,entry,masters,major_city,23,0.0,1,0,0,0,0.0701,236090.06
doctor,healthcare,entry,phd,small_city,30,2.9,0,0,1,1,0.0663,92665.17
school counselor,education,lead,associates,suburb,31,10.6,0,0,0,0,0.028,87276.01
mobile developer,technology,lead,bachelors,suburb,36,15.2,0,0,0,0,0.0871,243195.49
ui designer,creative,executive,masters,major_city,39,16.1,0,0,0,0,0.0173,479599.85
ux designer,creative,senior,bachelors,major_city,26,5.2,0,0,0,0,0.0236,192392.56
professor,education,mid,high_school,small_city,23,6.4,0,0,0,0,0.0119,96966.0
teacher,education,senior,masters,small_city,37,14.0,0,0,0,0,0.0208,118894.15
physical therapist,healthcare,entry,bachelors,major_city,24,1.6,0,1,0,0,0.0617,89569.41
art director,creative,executive,associates,suburb,41,21.2,1,0,0,0,0.0093,291572.0
school counselor,education,lead,masters,major_city,42,18.1,1,1,0,0,0.0117,158351.61
journalist,creative,mid,self_taught,suburb,20,3.4,0,1,0,0,0.0255,47112.21
biologist,other,senior,masters,suburb,35,11.0,1,1,0,0,0.0358,116628.82
software developer,technology,mid,bachelors,small_city,27,5.6,0,0,0,0,0.0898,155290.19
biologist,other,mid,bachelors,rural,27,6.2,0,0,0,0,0.0215,61735.19
radiologist,healthcare,entry,bachelors,international,22,0.6,0,0,1,1,0.0485,54310.4
dentist,healthcare,executive,masters,international,46,22.0,0,0,0,0,0.0413,665784.48
pharmacist,healthcare,lead,bachelors,major_city,36,14.5,0,1,0,0,0.0629,272940.99
hr manager,business,mid,bachelors,small_city,27,5.4,0,1,0,0,0.0391,100914.97
devops engineer,technology,senior,bachelors,rural,29,8.0,0,0,0,0,0.0717,151206.41
mechanical engineer,engineering,entry,bachelors,major_city,22,0.0,1,0,0,0,0.0718,109222.09
data engineer,technology,entry,bootcamp,suburb,19,1.6,1,0,0,0,0.0792,125394.66
product designer,creative,senior,bachelors,suburb,36,14.0,0,0,0,0,0.0314,203297.37
school counselor,education,lead,phd,major_city,48,20.9,0,0,0,0,0.0138,187715.83
frontend developer,technology,entry,masters,rural,25,2.0,1,0,0,0,0.0792,96503.76
copywriter,creative,senior,masters,suburb,37,14.7,0,1,0,0,0.0399,119481.86
data engineer,technology,mid,phd,international,30,2.5,1,1,0,0,0.1038,196225.96
lawyer,business,executive,masters,major_city,60,36.1,0,1,0,0,0.0195,1688411.7
financial advisor,finance,mid,high_school,major_city,21,4.5,1,0,0,0,0.0521,92438.36
venture capitalist,finance,entry,bachelors,suburb,24,1.8,1,0,0,0,0.0359,143531.13
police officer,service,lead,bachelors,suburb,34,13.1,0,0,0,0,0.0393,110103.63
mobile developer,technology,mid,masters,rural,28,3.5,1,0,0,0,0.0719,134446.23
firefighter,service,lead,self_taught,rural,32,13.3,0,0,0,0,0.0133,89560.32
journalist,creative,senior,bachelors,international,34,12.4,1,0,0,0,0.0271,90726.95
management consultant,business,entry,bachelors,international,22,0.2,1,0,0,0,0.0289,102277.34
ux designer,creative,entry,bachelors,small_city,24,2.3,0,0,0,0,0.0461,82931.94
accountant,finance,executive,bachelors,international,37,15.6,1,0,0,0,0.0556,212897.97
physician assistant,healthcare,entry,phd,small_city,28,1.7,0,0,0,0,0.0513,170643.05
professor,education,mid,bootcamp,suburb,23,4.9,0,0,0,0,0.0268,98180.51
graphic designer,creative,senior,masters,suburb,36,12.0,0,0,0,0,0.0177,109910.64
cardiologist,healthcare,mid,phd,international,33,5.4,0,0,1,1,0.0728,74940.27
civil engineer,engineering,mid,masters,major_city,28,3.9,1,0,0,0,0.0575,161724.43
real estate broker,business,mid,bachelors,suburb,27,5.7,1,0,0,0,0.0566,154117.04
cto,technology,senior,bachelors,rural,31,8.7,1,0,0,0,0.0739,433752.04
attorney,business,entry,phd,rural,26,0.5,0,0,0,0,0.0456,98751.06
data scientist,technology,entry,bachelors,international,22,0.2,0,0,0,0,0.0873,91375.3
physical therapist,healthcare,mid,phd,international,30,4.6,0,0,0,0,0.0566,115001.94
chemist,other,mid,masters,major_city,27,3.0,0,0,0,0,0.027,121834.87
orthopedic surgeon,healthcare,entry,phd,small_city,27,0.3,0,0,1,1,0.0629,74601.11
cloud engineer,technology,mid,bachelors,rural,23,2.4,0,0,0,0,0.0662,122037.46
aerospace engineer,engineering,senior,masters,suburb,36,13.6,1,0,0,0,0.0526,225233.69
electrician,service,senior,bachelors,small_city,30,7.7,0,0,0,0,0.0286,95110.52
corporate lawyer,business,entry,bachelors,international,23,0.6,1,1,0,0,0.0385,106867.95
art director,creative,entry,phd,rural,29,1.1,1,0,0,0,0.0426,85649.69
lawyer,business,mid,associates,rural,27,6.8,1,0,0,0,0.0391,157502.74
chemical engineer,engineering,mid,masters,major_city,28,5.3,0,0,0,0,0.0544,155810.41
cardiologist,healthcare,senior,bachelors,major_city,31,10.2,0,0,1,0,0.0605,812468.95
hvac technician,service,entry,high_school,international,20,2.4,0,0,0,0,0.0245,21690.9
school counselor,education,mid,masters,small_city,30,6.0,0,0,0,0,0.0188,83369.47
data engineer,technology,senior,bachelors,suburb,31,9.4,1,0,0,0,0.0846,288839.26
cto,technology,mid,bachelors,major_city,26,4.3,0,0,0,0,0.0798,357716.65
backend developer,technology,mid,bachelors,suburb,28,6.4,0,0,0,0,0.0838,152370.15
ui designer,creative,entry,bachelors,small_city,22,1.5,0,1,0,0,0.0337,77746.08
electrical engineer,engineering,senior,high_school,suburb,33,14.9,0,0,0,0,0.0498,117160.47
ui designer,creative,senior,bachelors,rural,27,5.8,0,0,0,0,0.0306,148942.91
video editor,creative,mid,bootcamp,small_city,24,6.3,0,0,0,0,0.0332,51036.4
security analyst,technology,mid,bachelors,major_city,27,6.0,0,0,0,0,0.0894,140101.83
doctor,healthcare,entry,masters,suburb,25,1.4,0,0,1,1,0.0665,65435.57
principal,education,entry,bachelors,small_city,22,0.2,1,0,0,0,0.0149,81283.74
video editor,creative,lead,bootcamp,rural,34,15.7,0,0,0,0,0.0521,119440.63
venture capitalist,finance,executive,bachelors,small_city,44,21.9,1,0,0,0,0.052,2311242.9
investment banker,finance,mid,masters,suburb,28,3.8,0,0,0,0,0.0216,281902.26
product manager,technology,mid,masters,international,28,5.2,1,0,0,0,0.0709,169338.58
restaurant manager,service,mid,bootcamp,rural,23,4.9,1,0,0,0,0.0235,53987.03
data engineer,technology,senior,masters,small_city,28,5.3,1,1,0,0,0.0824,302112.35
video editor,creative,mid,masters,suburb,27,4.1,0,0,0,0,0.0411,62917.51
paralegal,business,lead,masters,rural,41,18.9,1,0,0,0,0.0385,171385.8
lawyer,business,mid,masters,international,29,5.0,0,1,0,0,0.0407,177586.9
backend developer,technology,lead,masters,major_city,38,13.9,1,0,0,0,0.0844,423422.84
electrician,service,entry,bootcamp,international,20,1.8,0,0,0,0,0.015,37065.1
patent attorney,business,senior,bachelors,small_city,29,8.1,0,0,0,0,0.0327,402180.67
hedge fund manager,finance,mid,phd,small_city,29,2.7,1,0,0,0,0.0544,547009.78
police officer,service,entry,self_taught,international,19,1.9,0,0,0,0,0.0303,39188.83
photographer,creative,entry,bachelors,international,23,1.5,0,0,0,0,0.038,39721.54
principal,education,mid,bachelors,suburb,27,4.5,0,0,0,0,0.0212,109187.87
veterinarian,healthcare,lead,bachelors,major_city,44,22.8,0,0,0,0,0.0579,319910.8
financial analyst,finance,entry,associates,international,23,2.9,1,0,0,0,0.0395,49513.8
radiologist,healthcare,entry,bachelors,suburb,24,2.9,1,1,1,1,0.07,78028.6
cybersecurity engineer,technology,senior,bachelors,major_city,30,7.6,0,0,0,0,0.0917,264020.61
aerospace engineer,engineering,senior,bachelors,major_city,33,11.0,1,0,0,0,0.0417,216408.61
teacher,education,entry,masters,rural,24,1.4,0,0,0,0,0.0269,45115.35
copywriter,creative,senior,bootcamp,small_city,27,8.3,1,1,0,0,0.0265,83042.36
journalist,creative,mid,self_taught,rural,20,3.5,0,0,0,0,0.0303,45964.02
attorney,business,mid,bachelors,small_city,27,4.7,0,0,0,0,0.055,265696.54
real estate agent,business,entry,high_school,rural,19,1.0,0,1,0,0,0.0469,22711.92
graphic designer,creative,senior,bootcamp,major_city,26,8.8,1,1,0,0,0.0368,99291.32
physical therapist,healthcare,entry,bachelors,international,23,0.6,0,0,0,0,0.0605,62425.23
cloud engineer,technology,entry,bachelors,international,24,2.5,1,0,0,0,0.0791,94108.17
hr manager,business,executive,bachelors,rural,57,35.8,1,0,0,0,0.0362,262234.17
product manager,technology,senior,associates,small_city,28,8.4,0,0,0,0,0.0714,186509.42
engineering manager,technology,entry,masters,rural,24,1.8,1,0,0,0,0.0835,181558.33
physician,healthcare,entry,phd,suburb,29,2.9,0,0,1,1,0.0623,67174.63
hvac technician,service,entry,associates,suburb,19,0.6,0,0,0,0,0.0088,33885.57
chef,service,mid,bootcamp,international,22,3.4,1,1,0,0,0.0159,39296.65
research scientist,other,entry,bachelors,international,24,2.3,0,0,0,0,0.0322,63753.73
attorney,business,lead,associates,international,30,10.1,0,0,0,0,0.0424,382110.83
physician,healthcare,mid,bachelors,international,28,5.9,0,0,1,0,0.0599,243287.44
physician assistant,healthcare,mid,masters,small_city,26,2.2,0,1,0,0,0.0612,168924.84
art director,creative,lead,masters,rural,46,22.6,0,0,0,0,0.0234,225595.28
real estate broker,business,entry,bachelors,rural,24,1.2,0,0,0,0,0.0327,43414.99
nurse,healthcare,senior,phd,international,33,7.5,1,0,0,0,0.0739,117987.42
data engineer,technology,mid,masters,rural,29,6.1,1,0,0,0,0.0975,176033.58
nurse,healthcare,mid,bachelors,suburb,26,4.7,0,0,0,0,0.0626,98779.28
actuary,finance,senior,bootcamp,international,28,9.7,1,0,0,0,0.049,188919.15
cpa,finance,executive,bachelors,suburb,43,20.9,1,0,0,0,0.051,401266.21
venture capitalist,finance,executive,bachelors,rural,43,21.2,1,0,0,0,0.0489,2216815.59
hedge fund manager,finance,mid,phd,suburb,32,5.2,1,0,0,0,0.0326,778473.69
physicist,other,mid,masters,small_city,29,4.8,0,0,0,0,0.0213,160652.21
nurse,healthcare,mid,bachelors,major_city,23,2.1,0,0,0,0,0.0626,98953.42
actuary,finance,senior,bachelors,suburb,37,15.0,1,0,0,0,0.034,242094.19
teacher,education,senior,bachelors,major_city,29,7.5,0,0,0,0,0.0161,96121.59
machine learning engineer,technology,entry,bachelors,rural,24,2.5,0,1,0,0,0.0967,82623.1
cpa,finance,senior,bachelors,major_city,35,12.9,0,0,0,0,0.0388,190762.98
real estate agent,business,lead,associates,major_city,45,24.7,1,0,0,0,0.038,334574.78
restaurant manager,service,senior,masters,small_city,33,9.1,0,0,0,0,0.0327,116835.96
biologist,other,lead,masters,suburb,36,11.8,0,0,0,0,0.0291,166117.89
restaurant manager,service,entry,self_taught,major_city,20,2.1,0,1,0,0,0.0254,46617.43
journalist,creative,entry,phd,international,28,0.4,1,0,0,0,0.0315,54516.74
real estate broker,business,mid,bachelors,suburb,27,5.3,1,0,0,0,0.0355,148904.71
data engineer,technology,entry,self_taught,small_city,18,0.1,1,0,0,0,0.0804,93846.42
principal,education,senior,high_school,rural,33,14.7,1,0,0,0,0.0286,109377.04
financial analyst,finance,entry,phd,small_city,28,2.5,0,0,0,0,0.0408,104163.21
school counselor,education,mid,bachelors,rural,29,6.8,0,0,0,0,0.0224,59969.52
dermatologist,healthcare,senior,masters,small_city,31,7.9,0,0,1,0,0.0543,686915.59
professor,education,entry,associates,suburb,21,1.2,1,0,0,0,0.0113,54490.2
dentist,healthcare,entry,bachelors,rural,23,1.2,0,0,0,0,0.0498,141584.11
devops engineer,technology,lead,bootcamp,international,41,22.1,0,0,0,0,0.0779,266093.36
recruiter,business,lead,masters,rural,46,22.3,0,0,0,0,0.0416,148474.99
physician assistant,healthcare,entry,masters,suburb,25,0.3,1,0,0,0,0.0654,141141.13
software engineer,technology,lead,masters,major_city,40,17.2,0,0,0,0,0.0701,585610.4
copywriter,creative,mid,bachelors,international,28,6.6,0,0,0,0,0.0243,76285.57
art director,creative,mid,high_school,international,24,6.8,0,1,0,0,0.0133,61949.57
engineering manager,technology,senior,bachelors,rural,30,7.4,1,0,0,0,0.0889,235644.4
civil engineer,engineering,executive,phd,international,50,24.5,0,1,0,0,0.0425,270299.87
actuary,finance,senior,masters,rural,37,13.9,0,0,0,0,0.0498,202533.09
data engineer,technology,lead,bachelors,rural,34,11.9,0,0,0,0,0.0788,298566.08
attorney,business,mid,phd,small_city,31,4.0,0,0,0,0,0.0189,282957.21
full stack developer,technology,entry,bachelors,rural,22,1.5,1,0,0,0,0.0766,64489.82
pharmacist,healthcare,mid,phd,suburb,32,4.8,0,0,0,0,0.0632,197547.86
chemical engineer,engineering,entry,bachelors,major_city,25,2.8,0,0,0,0,0.0556,97927.68
cloud engineer,technology,entry,bachelors,international,23,1.6,0,0,0,0,0.0874,79484.17
chef,service,senior,bootcamp,suburb,25,7.0,0,1,0,0,0.0255,59763.69
real estate agent,business,entry,bachelors,small_city,23,1.1,1,0,0,0,0.0382,49176.78
patent attorney,business,senior,self_taught,rural,29,10.1,1,1,0,0,0.0389,230447.12
software engineer,technology,entry,phd,suburb,27,1.7,0,0,0,0,0.0829,100988.25
real estate agent,business,mid,associates,suburb,23,3.5,0,0,0,0,0.0502,66955.29
electrical engineer,engineering,entry,bachelors,rural,22,1.3,1,0,0,0,0.0541,66103.64
real estate broker,business,mid,masters,international,28,5.0,1,0,0,0,0.0368,158406.28
dermatologist,healthcare,senior,bachelors,small_city,27,6.1,0,0,1,0,0.0495,440101.32
